name;price;info;link;Артикул;Код товара;Срок поставки;Размер светового пятна, мм;Аналоговый выход по току, мА;Комплектация;Материал линз;Питание;Температура эксплуатации
Оптический датчик расстояния Balluff BOD 21M-LA02-S92;Уточнить цену;"Артикул; BOD 21M-LA02-S92; Код товара; BOD000M; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_21m_la02_s92/;BOD 21M-LA02-S92;BOD000M;4-6 недель;1;;;;;
Оптический датчик расстояния Balluff BOD 21M-LA04-S92;Уточнить цену;"Артикул; BOD 21M-LA04-S92; Код товара; BOD000N; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1x6";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_21m_la04_s92/;BOD 21M-LA04-S92;BOD000N;4-6 недель;1x6;;;;;
Оптический датчик расстояния Balluff BOD 23K-LA01-S92;Уточнить цену;"Артикул; BOD 23K-LA01-S92; Код товара; BOD001N; Срок поставки; 4-6 недель; Размер светового пятна, мм; 5.5x7";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_23k_la01_s92/;BOD 23K-LA01-S92;BOD001N;4-6 недель;5.5x7;;;;;
Оптический датчик расстояния Balluff BOD 23K-LB01-S92;Уточнить цену;"Артикул; BOD 23K-LB01-S92; Код товара; BOD001P; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_23k_lb01_s92/;BOD 23K-LB01-S92;BOD001P;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 23K-LI01-S4;Уточнить цену;"Артикул; BOD 23K-LI01-S4; Код товара; BOD0020; Срок поставки; 4-6 недель; Размер светового пятна, мм; 5.5x9";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_23k_li01_s4/;BOD 23K-LI01-S4;BOD0020;4-6 недель;5.5x9;;;;;
Оптический датчик расстояния Balluff BOD 24K-LA03-S92;Уточнить цену;"Артикул; BOD 24K-LA03-S92; Код товара; BOD0024; Срок поставки; 4-6 недель; Размер светового пятна, мм; 1x1";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_24k_la03_s92/;BOD 24K-LA03-S92;BOD0024;4-6 недель;1x1;;;;;
Оптический датчик расстояния Balluff BOD 24K-LB03-S92;Уточнить цену;"Артикул; BOD 24K-LB03-S92; Код товара; BOD0025; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4…20";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_24k_lb03_s92/;BOD 24K-LB03-S92;BOD0025;4-6 недель;;4…20;;;;
Оптический датчик расстояния Balluff BOD 26K-LA01-S4-C;Уточнить цену;"Артикул; BOD 26K-LA01-S4-C; Код товара; BOD0002; Срок поставки; 4-6 недель; Размер светового пятна, мм; 0.8";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_26k_la01_s4_c/;BOD 26K-LA01-S4-C;BOD0002;4-6 недель;0.8;;;;;
Оптический датчик расстояния Balluff BOD 63M-LA04-S115;Уточнить цену;"Артикул; BOD 63M-LA04-S115; Код товара; BOD000W; Срок поставки; 4-6 недель; Размер светового пятна, мм; 10";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_la04_s115/;BOD 63M-LA04-S115;BOD000W;4-6 недель;10;;;;;
Оптический датчик расстояния Balluff BOD 63M-LI06-S4;Уточнить цену;"Артикул; BOD 63M-LI06-S4; Код товара; BOD0012; Срок поставки; 4-6 недель; Размер светового пятна, мм; 10";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_63m_li06_s4/;BOD 63M-LI06-S4;BOD0012;4-6 недель;10;;;;;
Оптический датчик расстояния Balluff BOD 66M-LA14-S92;Уточнить цену;"Артикул; BOD 66M-LA14-S92; Код товара; BOD001E; Срок поставки; 4-6 недель; Размер светового пятна, мм; 2x6";https://balluff-rus.ru/catalog/lazernye_datchiki_rasstoyaniya/opticheskiy_datchik_rasstoyaniya_balluff_bod_66m_la14_s92/;BOD 66M-LA14-S92;BOD001E;4-6 недель;2x6;;;;;
