name;price;info;link;Код товара;Комплектация;Питание;Принцип действия;Артикул;Срок поставки;Длина датчика, мм;Чувствительность;Корпус;Аналоговый выход по току, мА
Емкостной датчик Balluff BCS M12BBG2-POC40D-S04K;Уточнить цену;"Артикул; BCS M12BBG2-POC40D-S04K; Код товара; BCS00PK; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbg2_poc40d_s04k/;BCS00PK;;;;BCS M12BBG2-POC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12T4D2-PSM40C-S04G;Уточнить цену;"Артикул; BCS M12T4D2-PSM40C-S04G; Код товара; BCS0037; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12t4d2_psm40c_s04g/;BCS0037;;;;BCS M12T4D2-PSM40C-S04G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4N1-PSC80D-EP02;Уточнить цену;"Артикул; BCS M18B4N1-PSC80D-EP02; Код товара; BCS00LK; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4n1_psc80d_ep02/;BCS00LK;;;;BCS M18B4N1-PSC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBI3-PSC80D-S04K;Уточнить цену;"Артикул; BCS M18BBI3-PSC80D-S04K; Код товара; BCS00M8; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbi3_psc80d_s04k/;BCS00M8;;;;BCS M18BBI3-PSC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBN1-NOC80D-EP02;Уточнить цену;"Артикул; BCS M18BBN1-NOC80D-EP02; Код товара; BCS00M3; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbn1_noc80d_ep02/;BCS00M3;;;;BCS M18BBN1-NOC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I2-PSC15D-S04K;Уточнить цену;"Артикул; BCS M30B4I2-PSC15D-S04K; Код товара; BCS00MR; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i2_psc15d_s04k/;BCS00MR;;;;BCS M30B4I2-PSC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI1-POC15D-EP02;Уточнить цену;"Артикул; BCS M30BBI1-POC15D-EP02; Код товара; BCS00NN; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi1_poc15d_ep02/;BCS00NN;;;;BCS M30BBI1-POC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI1-PSC15D-EP02;Уточнить цену;"Артикул; BCS M30BBI1-PSC15D-EP02; Код товара; BCS00NM; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi1_psc15d_ep02/;BCS00NM;;;;BCS M30BBI1-PSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI2-NSC15D-S04K;Уточнить цену;"Артикул; BCS M30BBI2-NSC15D-S04K; Код товара; BCS00NE; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi2_nsc15d_s04k/;BCS00NE;;;;BCS M30BBI2-NSC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI2-POC15D-S04K;Уточнить цену;"Артикул; BCS M30BBI2-POC15D-S04K; Код товара; BCS00NC; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi2_poc15d_s04k/;BCS00NC;;;;BCS M30BBI2-POC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
