name;price;info;link;Код товара;Комплектация;Питание;Принцип действия;Артикул;Срок поставки;Длина датчика, мм;Чувствительность;Корпус;Аналоговый выход по току, мА
Емкостной датчик Balluff BCS M18BBN1-PSC80D-EP02;Уточнить цену;"Артикул; BCS M18BBN1-PSC80D-EP02; Код товара; BCS00NZ; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbn1_psc80d_ep02/;BCS00NZ;;;;BCS M18BBN1-PSC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI1-NSC15D-EP02;Уточнить цену;"Артикул; BCS M30BBI1-NSC15D-EP02; Код товара; BCS00NP; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi1_nsc15d_ep02/;BCS00NP;;;;BCS M30BBI1-NSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30EM2-PSC20C-S04K;Уточнить цену;"Артикул; BCS M30EM2-PSC20C-S04K; Код товара; BCS00HH; Срок поставки; 4-6 недель; Длина датчика, мм; 87";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30em2_psc20c_s04k/;BCS00HH;;;;BCS M30EM2-PSC20C-S04K;4-6 недель;87;;;
Емкостной датчик Balluff BCS M08T4E2-NSM15C-S49G;Уточнить цену;"Артикул; BCS M08T4E2-NSM15C-S49G; Код товара; BCS002E; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e2_nsm15c_s49g/;BCS002E;;;;BCS M08T4E2-NSM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D22V4M1-NSC10C-EV02;Уточнить цену;"Артикул; BCS D22V4M1-NSC10C-EV02; Код товара; BCS0035; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22v4m1_nsc10c_ev02/;BCS0035;;;;BCS D22V4M1-NSC10C-EV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI1-NOC15D-EP02;Уточнить цену;"Артикул; BCS G34OOI1-NOC15D-EP02; Код товара; BCS00UP; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi1_noc15d_ep02/;BCS00UP;;;;BCS G34OOI1-NOC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI1-POC15D-EP02;Уточнить цену;"Артикул; BCS G34OOI1-POC15D-EP02; Код товара; BCS00UF; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi1_poc15d_ep02/;BCS00UF;;;;BCS G34OOI1-POC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI2-NSC15D-S04K;Уточнить цену;"Артикул; BCS G34OOI2-NSC15D-S04K; Код товара; BCS00UL; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi2_nsc15d_s04k/;BCS00UL;;;;BCS G34OOI2-NSC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4I1-POC40D-EP02;Уточнить цену;"Артикул; BCS M12B4I1-POC40D-EP02; Код товара; BCS00P8; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4i1_poc40d_ep02/;BCS00P8;;;;BCS M12B4I1-POC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-PSC40D-EP00,35-S04G;Уточнить цену;"Артикул; BCS M12BBI1-PSC40D-EP00,35-S04G; Код товара; BCS00TL; Срок поставки; 4-6 недель; Длина датчика, мм; 61";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_psc40d_ep00_35_s04g/;BCS00TL;;;;BCS M12BBI1-PSC40D-EP00,35-S04G;4-6 недель;61;;;
Емкостной датчик Balluff BCS M18B4I3-NOC80D-S04K;Уточнить цену;"Артикул; BCS M18B4I3-NOC80D-S04K; Код товара; BCS00M6; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4i3_noc80d_s04k/;BCS00M6;;;;BCS M18B4I3-NOC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4I3-NSC80D-S04K;Уточнить цену;"Артикул; BCS M18B4I3-NSC80D-S04K; Код товара; BCS00M5; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4i3_nsc80d_s04k/;BCS00M5;;;;BCS M18B4I3-NSC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4N1-NSC80D-EP02;Уточнить цену;"Артикул; BCS M18B4N1-NSC80D-EP02; Код товара; BCS00LN; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4n1_nsc80d_ep02/;BCS00LN;;;;BCS M18B4N1-NSC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBI3-NOC80D-S04K;Уточнить цену;"Артикул; BCS M18BBI3-NOC80D-S04K; Код товара; BCS00MK; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbi3_noc80d_s04k/;BCS00MK;;;;BCS M18BBI3-NOC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I2-NOC15D-S04K;Уточнить цену;"Артикул; BCS M30B4I2-NOC15D-S04K; Код товара; BCS00MW; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i2_noc15d_s04k/;BCS00MW;;;;BCS M30B4I2-NOC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I2-NSC15D-S04K;Уточнить цену;"Артикул; BCS M30B4I2-NSC15D-S04K; Код товара; BCS00MU; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i2_nsc15d_s04k/;BCS00MU;;;;BCS M30B4I2-NSC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I2-POC15D-S04K;Уточнить цену;"Артикул; BCS M30B4I2-POC15D-S04K; Код товара; BCS00MT; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i2_poc15d_s04k/;BCS00MT;;;;BCS M30B4I2-POC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI2-NOC15D-S04K;Уточнить цену;"Артикул; BCS M30BBI2-NOC15D-S04K; Код товара; BCS00NF; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi2_noc15d_s04k/;BCS00NF;;;;BCS M30BBI2-NOC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D22V4M1-POC10C-EV02;Уточнить цену;"Артикул; BCS D22V4M1-POC10C-EV02; Код товара; BCS0034; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22v4m1_poc10c_ev02/;BCS0034;;;;BCS D22V4M1-POC10C-EV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D30T401-NOC15C-EP02;Уточнить цену;"Артикул; BCS D30T401-NOC15C-EP02; Код товара; BCS003F; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30t401_noc15c_ep02/;BCS003F;;;;BCS D30T401-NOC15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G10T4H-NOM40C-EP02;Уточнить цену;"Артикул; BCS G10T4H-NOM40C-EP02; Код товара; BCS002Y; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g10t4h_nom40c_ep02/;BCS002Y;;;;BCS G10T4H-NOM40C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI2-POC15D-S04K;Уточнить цену;"Артикул; BCS G34OOI2-POC15D-S04K; Код товара; BCS00UK; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi2_poc15d_s04k/;BCS00UK;;;;BCS G34OOI2-POC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4G2-NOC40D-S04K;Уточнить цену;"Артикул; BCS M12B4G2-NOC40D-S04K; Код товара; BCS00P3; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4g2_noc40d_s04k/;BCS00P3;;;;BCS M12B4G2-NOC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBG2-NSC40D-S04K;Уточнить цену;"Артикул; BCS M12BBG2-NSC40D-S04K; Код товара; BCS00PL; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbg2_nsc40d_s04k/;BCS00PL;;;;BCS M12BBG2-NSC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-NOC40D-EP02;Уточнить цену;"Артикул; BCS M12BBI1-NOC40D-EP02; Код товара; BCS00PZ; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_noc40d_ep02/;BCS00PZ;;;;BCS M12BBI1-NOC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-NSC40D-EP03;Уточнить цену;"Артикул; BCS M12BBI1-NSC40D-EP03; Код товара; BCS00W8; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_nsc40d_ep03/;BCS00W8;;;;BCS M12BBI1-NSC40D-EP03;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-POC40D-EP02;Уточнить цену;"Артикул; BCS M12BBI1-POC40D-EP02; Код товара; BCS00PW; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_poc40d_ep02/;BCS00PW;;;;BCS M12BBI1-POC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-PSC40D-EP03;Уточнить цену;"Артикул; BCS M12BBI1-PSC40D-EP03; Код товара; BCS00W6; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_psc40d_ep03/;BCS00W6;;;;BCS M12BBI1-PSC40D-EP03;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4N1-NOC80D-EP02;Уточнить цену;"Артикул; BCS M18B4N1-NOC80D-EP02; Код товара; BCS00LP; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4n1_noc80d_ep02/;BCS00LP;;;;BCS M18B4N1-NOC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4M2-NPM20C-S04G;Уточнить цену;"Артикул; BCS M30B4M2-NPM20C-S04G; Код товара; BCS004U; Срок поставки; 4-6 недель; Корпус; Резьбовой";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4m2_npm20c_s04g/;BCS004U;;;;BCS M30B4M2-NPM20C-S04G;4-6 недель;;;Резьбовой;
Емкостной датчик Balluff BCS D22T402-NSM60C-EP02;Уточнить цену;"Артикул; BCS D22T402-NSM60C-EP02; Код товара; BCS00HL; Срок поставки; 4-6 недель; Длина датчика, мм; 4";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22t402_nsm60c_ep02/;BCS00HL;;;;BCS D22T402-NSM60C-EP02;4-6 недель;4;;;
Емкостной датчик Balluff BCS D22T403-NSM60C-EP02;Уточнить цену;"Артикул; BCS D22T403-NSM60C-EP02; Код товара; BCS003J; Срок поставки; 4-6 недель; Длина датчика, мм; 4";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22t403_nsm60c_ep02/;BCS003J;;;;BCS D22T403-NSM60C-EP02;4-6 недель;4;;;
Емкостной датчик Balluff BCS D30B4M3-NPC20C-EP02;Уточнить цену;"Артикул; BCS D30B4M3-NPC20C-EP02; Код товара; BCS004J; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30b4m3_npc20c_ep02/;BCS004J;;;;BCS D30B4M3-NPC20C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D30T401-NSC15C-EP02;Уточнить цену;"Артикул; BCS D30T401-NSC15C-EP02; Код товара; BCS003E; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30t401_nsc15c_ep02/;BCS003E;;;;BCS D30T401-NSC15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI1-NSC15D-EP02;Уточнить цену;"Артикул; BCS G34OOI1-NSC15D-EP02; Код товара; BCS00UH; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi1_nsc15d_ep02/;BCS00UH;;;;BCS G34OOI1-NSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M08T4E1-NOM30G-EP02;Уточнить цену;"Артикул; BCS M08T4E1-NOM30G-EP02; Код товара; BCS002L; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e1_nom30g_ep02/;BCS002L;;;;BCS M08T4E1-NOM30G-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4I1-NOC40D-EP02;Уточнить цену;"Артикул; BCS M12B4I1-NOC40D-EP02; Код товара; BCS00PA; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4i1_noc40d_ep02/;BCS00PA;;;;BCS M12B4I1-NOC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4I1-NSC40D-EP02;Уточнить цену;"Артикул; BCS M12B4I1-NSC40D-EP02; Код товара; BCS00P9; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4i1_nsc40d_ep02/;BCS00P9;;;;BCS M12B4I1-NSC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBG2-NOC40D-S04K;Уточнить цену;"Артикул; BCS M12BBG2-NOC40D-S04K; Код товара; BCS00PM; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbg2_noc40d_s04k/;BCS00PM;;;;BCS M12BBG2-NOC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBI3-NSC80D-S04K;Уточнить цену;"Артикул; BCS M18BBI3-NSC80D-S04K; Код товара; BCS00MJ; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbi3_nsc80d_s04k/;BCS00MJ;;;;BCS M18BBI3-NSC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I1-NSC15D-EP02;Уточнить цену;"Артикул; BCS M30B4I1-NSC15D-EP02; Код товара; BCS00N4; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i1_nsc15d_ep02/;BCS00N4;;;;BCS M30B4I1-NSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I1-POC15D-EP02;Уточнить цену;"Артикул; BCS M30B4I1-POC15D-EP02; Код товара; BCS00N3; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i1_poc15d_ep02/;BCS00N3;;;;BCS M30B4I1-POC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12T4D2-NOM40C-S04G;Уточнить цену;"Артикул; BCS M12T4D2-NOM40C-S04G; Код товара; BCS00AC; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12t4d2_nom40c_s04g/;BCS00AC;;;;BCS M12T4D2-NOM40C-S04G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4D2-NSM15C-S49G;Уточнить цену;"Артикул; BCS G06T4D2-NSM15C-S49G; Код товара; BCS001U; Срок поставки; 4-6 недель; Корпус; Цилиндрический";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4d2_nsm15c_s49g/;BCS001U;;;;BCS G06T4D2-NSM15C-S49G;4-6 недель;;;Цилиндрический;
Емкостной датчик Balluff BCS M08T4E2-NOM15C-S49G;Уточнить цену;"Артикул; BCS M08T4E2-NOM15C-S49G; Код товара; BCS002F; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e2_nom15c_s49g/;BCS002F;;;;BCS M08T4E2-NOM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M08T4E1-NOM15C-EP02;Уточнить цену;"Артикул; BCS M08T4E1-NOM15C-EP02; Код товара; BCS0029; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e1_nom15c_ep02/;BCS0029;;;;BCS M08T4E1-NOM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12T4G1-NOM40C-EP02;Уточнить цену;"Артикул; BCS M12T4G1-NOM40C-EP02; Код товара; BCS0032; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12t4g1_nom40c_ep02/;BCS0032;;;;BCS M12T4G1-NOM40C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4D2-NOM15C-S49G;Уточнить цену;"Артикул; BCS G06T4D2-NOM15C-S49G; Код товара; BCS001W; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4d2_nom15c_s49g/;BCS001W;;;;BCS G06T4D2-NOM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G10T4H-NSM40C-EP02;Уточнить цену;"Артикул; BCS G10T4H-NSM40C-EP02; Код товара; BCS002W; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g10t4h_nsm40c_ep02/;BCS002W;;;;BCS G10T4H-NSM40C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4E1-NOM15C-EP02;Уточнить цену;"Артикул; BCS G06T4E1-NOM15C-EP02; Код товара; BCS001P; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4e1_nom15c_ep02/;BCS001P;;;;BCS G06T4E1-NOM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G10T4H-POM40C-EP02;Уточнить цену;"Артикул; BCS G10T4H-POM40C-EP02; Код товара; BCS002U; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g10t4h_pom40c_ep02/;BCS002U;;;;BCS G10T4H-POM40C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18KM3-UST80G-BV02;Уточнить цену;"Артикул; BCS M18KM3-UST80G-BV02; Код товара; BCS000K; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18km3_ust80g_bv02/;BCS000K;;;;BCS M18KM3-UST80G-BV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30KN2-UST15G-AV02;Уточнить цену;"Артикул; BCS M30KN2-UST15G-AV02; Код товара; BCS000W; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30kn2_ust15g_av02/;BCS000W;;;;BCS M30KN2-UST15G-AV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G20L4Q-PAC10C-EV03-D03;Уточнить цену;"Артикул; BCS G20L4Q-PAC10C-EV03-D03; Код товара; BCS00W7; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g20l4q_pac10c_ev03_d03/;BCS00W7;;;;BCS G20L4Q-PAC10C-EV03-D03;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34KN2-UST20G-AV02;Уточнить цену;"Артикул; BCS G34KN2-UST20G-AV02; Код товара; BCS0007; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34kn2_ust20g_av02/;BCS0007;;;;BCS G34KN2-UST20G-AV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18KM3-UOT80G-BV02;Уточнить цену;"Артикул; BCS M18KM3-UOT80G-BV02; Код товара; BCS000J; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18km3_uot80g_bv02/;BCS000J;;;;BCS M18KM3-UOT80G-BV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30KN2-UOT15G-AV02;Уточнить цену;"Артикул; BCS M30KN2-UOT15G-AV02; Код товара; BCS000U; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30kn2_uot15g_av02/;BCS000U;;;;BCS M30KN2-UOT15G-AV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCW M18B4M1-ICM80C-DV02;Уточнить цену;"Артикул; BCW M18B4M1-ICM80C-DV02; Код товара; BCW0001; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 20…4";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcw_m18b4m1_icm80c_dv02/;BCW0001;;;;BCW M18B4M1-ICM80C-DV02;4-6 недель;;;;20…4
Емкостной датчик Balluff BCS Z094401-XXS20B-SZ02-T07;Уточнить цену;"Артикул; BCS Z094401-XXS20B-SZ02-T07; Код товара; BCS013E; Срок поставки; 4-6 недель; Чувствительность; регулируется на базовом устройстве";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_z094401_xxs20b_sz02_t07/;BCS013E;;;;BCS Z094401-XXS20B-SZ02-T07;4-6 недель;;регулируется на базовом устройстве;;
Емкостной датчик Balluff BCS D18T404-XXS50C-EP02-GZ01-002;Уточнить цену;"Артикул; BCS D18T404-XXS50C-EP02-GZ01-002; Код товара; BCS001C; Срок поставки; 4-6 недель; Чувствительность; регулируется на базовом устройстве";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d18t404_xxs50c_ep02_gz01_002/;BCS001C;;;;BCS D18T404-XXS50C-EP02-GZ01-002;4-6 недель;;регулируется на базовом устройстве;;
Емкостной датчик Balluff BCS D22T405-XXS10C-EP02-GZ01-002;Уточнить цену;"Артикул; BCS D22T405-XXS10C-EP02-GZ01-002; Код товара; BCS001F; Срок поставки; 4-6 недель; Чувствительность; регулируется на базовом устройстве";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22t405_xxs10c_ep02_gz01_002/;BCS001F;;;;BCS D22T405-XXS10C-EP02-GZ01-002;4-6 недель;;регулируется на базовом устройстве;;
