name;price;info;link;Код товара;Комплектация;Питание;Температура эксплуатации;Артикул;Срок поставки;Аналоговый выход по напряжению, В;Аналоговый выход по току, мА
Индуктивный датчик расстояния Balluff BAW Z01AC-UAD50B-DP05-K;Уточнить цену;"Артикул; BAW Z01AC-UAD50B-DP05-K; Код товара; BAW003F; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_z01ac_uad50b_dp05_k/;BAW003F;;;;BAW Z01AC-UAD50B-DP05-K;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW G06EF-UAC20B-S49G;Уточнить цену;"Артикул; BAW G06EF-UAC20B-S49G; Код товара; BAW000L; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_g06ef_uac20b_s49g/;BAW000L;;;;BAW G06EF-UAC20B-S49G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP01,5-GS04;Уточнить цену;"Артикул; BAW M08EI-UAD15B-BP01,5-GS04; Код товара; BAW000R; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp01_5_gs04/;BAW000R;;;;BAW M08EI-UAD15B-BP01,5-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP05;Уточнить цену;"Артикул; BAW M08EI-UAD15B-BP05; Код товара; BAW000U; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp05/;BAW000U;;;;BAW M08EI-UAD15B-BP05;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12ME-ICC35C-S04G;Уточнить цену;"Артикул; BAW M12ME-ICC35C-S04G; Код товара; BAW0055; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_icc35c_s04g/;BAW0055;;;;BAW M12ME-ICC35C-S04G;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M12ME-UAD50B-BP01;Уточнить цену;"Артикул; BAW M12ME-UAD50B-BP01; Код товара; BAW0011; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_uad50b_bp01/;BAW0011;;;;BAW M12ME-UAD50B-BP01;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP00,5-GS04;Уточнить цену;"Артикул; BAW M12MF2-UAC40F-BP00,5-GS04; Код товара; BAW0015; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp00_5_gs04/;BAW0015;;;;BAW M12MF2-UAC40F-BP00,5-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP01,5-GS04;Уточнить цену;"Артикул; BAW M12MF2-UAC40F-BP01,5-GS04; Код товара; BAW0016; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp01_5_gs04/;BAW0016;;;;BAW M12MF2-UAC40F-BP01,5-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP05;Уточнить цену;"Артикул; BAW M12MF2-UAC40F-BP05; Код товара; BAW0018; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp05/;BAW0018;;;;BAW M12MF2-UAC40F-BP05;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MF-ICC70G-BP02;Уточнить цену;"Артикул; BAW M12MF-ICC70G-BP02; Код товара; BAW004T; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf_icc70g_bp02/;BAW004T;;;;BAW M12MF-ICC70G-BP02;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BP00,2-GS04;Уточнить цену;"Артикул; BAW M12MG2-UAC20B-BP00,2-GS04; Код товара; BAW001J; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bp00_2_gs04/;BAW001J;;;;BAW M12MG2-UAC20B-BP00,2-GS04;4-6 недель;0...10;
